   0  0.000000000000000e+00  5.000000000000000e-01  -6.931471805599453e-01
   1  2.500000000000000e-01  2.500000000000000e-01  -1.386294361119891e+00  5.000000000000000e-01
   2  4.138576779026217e-01  8.614232209737827e-02  -2.451754442471100e+00  3.445692883895131e-01
   3  4.866265693436553e-01  1.337343065634467e-02  -4.314485327189323e+00  1.552480863149577e-01
   4  4.996289035960350e-01  3.710964039650433e-04  -7.899048680149353e+00  2.774878140853010e-02
   5  4.999997064420318e-01  2.935579681562217e-07  -1.504119071068531e+01  7.910558146606951e-04
   6  4.999999999998159e-01  1.840749774828510e-13  -2.932343323398186e+01  6.270481385294656e-07
   7  4.999999999999999e-01  5.551115123125783e-17  -3.742994775023705e+01  3.015681544028950e-04
