   L  Approx. value         Abs error           
   4  1.110987826870530e+00  4.443211602038638e-01
   8  6.870325776324802e-01  2.036591096581353e-02
  16  6.666747461881439e-01  8.079521477299956e-06
  32  6.666666666668389e-01  1.723066134218243e-13
