   1  1.316414017954332e+01
   2  2.614393843775338e+00
   3  5.198153269416514e-01
   4  1.034786318787196e-01
   5  2.060863067430615e-02
   6  4.115162298686186e-03
   7  8.257755861581207e-04
   8  1.678264656875586e-04
   9  3.506968127894109e-05
  10  7.761304082622125e-06
  11  1.884921033945117e-06
  12  5.103272932025313e-07
  13  1.506526852426369e-07
  14  4.679807981787813e-08
  15  1.490761815692968e-08
  16  4.806217359400918e-09
  17  1.558977638628326e-09
  18  5.074635027858917e-10
  19  1.655739448614716e-10
  20  5.411865262670769e-11
  21  1.771432985386833e-11
  22  5.805427764261860e-12
  23  1.904595283892704e-12
  24  6.253850722384922e-13
  25  2.054732196704710e-13
  26  6.753916553107482e-14
  27  2.225990242772749e-14
  28  7.562566735475685e-15
  29  2.442490654175344e-15
