3.5 2.0 10.4 10.5 20.2 20.0 24.4 29.3 28.2 24.2 15.6 8.3 
4.8 1.2 8.9 6.9 21.8 21.5 24.9 29.4 27.6 23.7 16.2 6.9 
4.5 -0.9 9.3 10.0 19.3 22.7 22.4 29.0 29.1 22.5 14.2 8.7 
4.2 -0.7 6.3 11.9 20.1 21.8 26.2 29.6 28.8 22.6 14.3 10.1 
2.7 2.2 9.6 6.9 17.1 21.6 22.6 29.4 27.8 22.9 13.6 8.0 
3.9 4.6 13.6 9.4 20.1 21.7 26.4 29.2 26.8 24.0 11.8 4.1 
3.9 4.6 11.0 7.8 18.0 20.4 26.0 30.2 26.9 24.2 12.5 7.6 
3.7 7.3 11.0 6.5 17.0 23.5 23.6 29.8 27.5 23.1 12.4 7.9 
4.5 2.7 7.9 8.6 20.0 22.9 23.9 27.5 28.8 22.3 15.3 5.9 
5.4 1.2 8.2 13.0 18.9 22.5 24.9 29.2 28.2 21.6 17.1 7.0 
5.0 2.8 6.3 15.6 17.8 19.3 25.4 27.7 26.5 21.4 13.8 5.3 
2.7 3.4 2.9 13.4 14.9 22.7 26.0 27.5 26.9 21.6 13.2 4.8 
4.3 3.7 3.7 16.6 14.8 21.6 25.3 27.4 27.7 21.1 14.5 2.8 
4.9 3.0 5.1 16.0 16.4 19.5 25.4 26.8 25.3 21.4 13.6 1.1 
4.6 4.4 6.1 12.9 18.7 21.2 26.9 28.1 26.8 19.2 12.4 2.9 
4.5 4.4 7.4 13.4 16.8 22.6 27.9 28.0 27.7 18.9 14.0 3.3 
4.9 4.0 9.8 14.5 20.7 22.2 28.2 26.3 26.9 19.0 12.0 4.2 
4.3 3.3 11.3 15.4 20.2 20.3 28.2 28.3 25.6 20.3 9.9 4.8 
4.8 1.5 7.3 16.1 17.6 24.3 29.2 29.1 27.4 20.0 6.8 7.4 
6.8 1.6 6.8 17.1 18.9 25.2 29.8 29.8 26.9 17.9 9.8 9.9 
7.2 3.8 6.8 15.3 20.1 23.2 31.0 26.7 25.9 17.1 10.0 9.2 
7.6 5.3 9.0 16.6 20.3 23.8 25.1 27.8 26.1 17.1 10.9 8.0 
6.8 8.3 8.7 13.7 18.6 19.5 22.0 28.1 25.8 17.2 9.4 4.0 
3.3 9.1 9.2 15.4 20.0 22.7 23.2 28.5 24.5 18.2 10.9 3.7 
2.9 10.2 5.6 18.9 21.3 22.7 26.6 28.6 24.6 18.4 10.5 4.8 
1.5 8.0 5.5 19.9 19.2 23.1 28.5 28.9 20.4 15.8 10.6 6.9 
2.4 4.6 8.3 16.2 20.2 22.1 30.0 28.6 22.9 14.8 10.9 6.3 
2.9 3.2 8.9 17.6 21.6 20.8 30.8 28.9 24.1 15.3 10.5 2.9 
2.3 4.2 10.4 19.7 21.6 21.9 31.0 28.8 23.5 16.5 8.4 2.7 
2.1 8.0 12.7 20.7 20.8 22.4 31.1 28.8 23.1 17.6 9.5 2.8 
