Div     Approx.                Abs error            
     2  5.046296296296295e-01  4.629629629629539e-03
     4  5.004176114890401e-01  4.176114890400706e-04
     8  5.000298790443367e-01  2.987904433671140e-05
    16  5.000019433938830e-01  1.943393883041544e-06
    32  5.000001227454294e-01  1.227454293761809e-07
    64  5.000000076920678e-01  7.692067760523003e-09
