   1  6.875000000000000e-01  4.062500000000000e-01  1.875000000000000e-01  3.750000000000000e-01
   2  3.496093750000000e-01  1.518554687500000e-01  1.503906250000000e-01  8.020833333333334e-01
   3  5.884227752685547e-01  3.073176145553589e-01  8.842277526855469e-02  5.879540381493507e-01
   4  4.375499151337863e-01  2.119222480748633e-01  6.245008486621373e-02  7.062669620642693e-01
   5  5.387944738644924e-01  2.744070016020015e-01  3.879447386449242e-02  6.212077044827318e-01
   6  4.737485070660420e-01  2.339017802697765e-01  2.625149293395801e-02  6.766812465521107e-01
   7  5.168057309589041e-01  2.604578518268041e-01  1.680573095890414e-02  6.401819127461829e-01
   8  4.888414552673155e-01  2.431294209711573e-01  1.115854473268452e-02  6.639725912530101e-01
   9  5.072346605632773e-01  2.544836785122860e-01  7.234660563277262e-03  6.483516208064483e-01
  10  4.952355799335569e-01  2.470603635446084e-01  4.764420066443065e-03  6.585547483218491e-01
  11  5.031057692977846e-01  2.519216933992137e-01  3.105769297784611e-03  6.518672271698454e-01
  12  4.979618690998388e-01  2.487412878729902e-01  2.038130900161250e-03  6.562402756750406e-01
  13  5.013316664930499e-01  2.508234185786835e-01  1.331666493049943e-03  6.533763326705788e-01
  14  4.991274254409799e-01  2.494608897229888e-01  8.725745590201228e-04  6.552500671708329e-01
  15  5.005706841555824e-01  2.503527758890624e-01  5.706841555823683e-04  6.540233721955301e-01
  16  4.996263011097405e-01  2.497690727634249e-01  3.736988902595106e-04  6.548261180970771e-01
  17  5.002445114288433e-01  2.501511298680144e-01  2.445114288432970e-04  6.543006554648826e-01
  18  4.998399319256554e-01  2.499010782556671e-01  1.600680743446548e-04  6.546445501622729e-01
  19  5.001047516623613e-01  2.500647425619136e-01  1.047516623613465e-04  6.544194574103371e-01
  20  4.999314330418855e-01  2.499576243481316e-01  6.856695811452429e-05  6.545667779285343e-01
  21  5.000448750413105e-01  2.500277347546478e-01  4.487504131045483e-05  6.544703534244888e-01
  22  4.999706277837981e-01  2.499818471664022e-01  2.937221620191721e-05  6.545334632388221e-01
  23  5.000192238851369e-01  2.500118810976872e-01  1.922388513686535e-05  6.544921569660292e-01
  24  4.999874175982308e-01  2.499922236837138e-01  1.258240176915670e-05  6.545191921183312e-01
  25  5.000082352007977e-01  2.500050896492783e-01  8.235200797734876e-06  6.545014973152312e-01
  26  4.999946099533722e-01  2.499966687745287e-01  5.390046627806733e-06  6.545130786961850e-01
  27  5.000035278151554e-01  2.500021803124763e-01  3.527815155446312e-06  6.545054985696511e-01
  28  4.999976910080805e-01  2.499985729657152e-01  2.308991919552916e-06  6.545104598205062e-01
  29  5.000015112518653e-01  2.500009340055329e-01  1.511251865315977e-06  6.545072126578062e-01
  30  4.999990108715422e-01  2.499993886852143e-01  9.891284578067427e-07  6.545093379255701e-01
  31  5.000006473924362e-01  2.500004001106240e-01  6.473924362149219e-07  6.545079469762969e-01
  32  4.999995762759163e-01  2.499997381241549e-01  4.237240837090539e-07  6.545088573886050e-01
  33  5.000002773309133e-01  2.500001713999479e-01  2.773309133452528e-07  6.545082614083354e-01
  34  4.999998184845179e-01  2.499998878172700e-01  1.815154820894449e-07  6.545086514155526e-01
  35  5.000001188034070e-01  2.500000734245467e-01  1.188034070009891e-07  6.545083958317489e-01
  36  4.999999222421527e-01  2.499999519430089e-01  7.775784727215296e-08  6.545085636433438e-01
  37  5.000000508931685e-01  2.500000314537085e-01  5.089316845729996e-08  6.545084546794815e-01
  38  4.999999666899874e-01  2.499999794132803e-01  3.331001263706668e-08  6.545085253439116e-01
  39  5.000000218016857e-01  2.500000134741829e-01  2.180168567900154e-08  6.545084781727486e-01
  40  4.999999857306111e-01  2.499999911810328e-01  1.426938889270701e-08  6.545085138279324e-01
  41  5.000000093394362e-01  2.500000057720890e-01  9.339436224387043e-09  6.545084932936662e-01
  42  4.999999938872596e-01  2.499999962221187e-01  6.112740424946139e-09  6.545085033060788e-01
  43  5.000000040008404e-01  2.500000024726554e-01  4.000840436724218e-09  6.545084787825700e-01
  44  4.999999973814160e-01  2.499999983816260e-01  2.618584016289560e-09  6.545084858304390e-01
  45  5.000000017138855e-01  2.500000010592395e-01  1.713885477983013e-09  6.545084928806397e-01
  46  4.999999988782474e-01  2.499999993067188e-01  1.121752579713586e-09  6.545084803645816e-01
  47  5.000000007341966e-01  2.500000004537585e-01  7.341965924112515e-10  6.545084947330467e-01
  48  4.999999995194622e-01  2.499999997030112e-01  4.805378317485065e-10  6.545083928683490e-01
  49  5.000000003145161e-01  2.500000001943816e-01  3.145160798467828e-10  6.545084675276668e-01
  50  4.999999997941466e-01  2.499999998727756e-01  2.058534454008054e-10  6.545084928601660e-01
  51  5.000000001347328e-01  2.500000000832695e-01  1.347327804879228e-10  6.545082606006052e-01
  52  4.999999999118162e-01  2.499999999454994e-01  8.818379360064910e-11  6.545088231779921e-01
  53  5.000000000577170e-01  2.500000000356711e-01  5.771705335888555e-11  6.545086234355505e-01
  54  4.999999999622237e-01  2.499999999766530e-01  3.777633761359311e-11  6.545091167197891e-01
  55  5.000000000247249e-01  2.500000000152808e-01  2.472488880300716e-11  6.545073017906947e-01
  56  4.999999999838174e-01  2.499999999899986e-01  1.618261080693628e-11  6.545069195606685e-01
  57  5.000000000105916e-01  2.500000000065460e-01  1.059163867722646e-11  6.545074094401756e-01
  58  4.999999999930677e-01  2.499999999957156e-01  6.932343588061940e-12  6.545109590046226e-01
  59  5.000000000045374e-01  2.500000000028042e-01  4.537370479340552e-12  6.545218686440000e-01
  60  4.999999999970303e-01  2.499999999981646e-01  2.969735568569831e-12  6.545058601874282e-01
  61  5.000000000019438e-01  2.500000000012013e-01  1.943778471513724e-12  6.545291412763093e-01
  62  4.999999999987278e-01  2.499999999992137e-01  1.272204563917967e-12  6.545007996344528e-01
  63  5.000000000008326e-01  2.500000000005146e-01  8.325562461664049e-13  6.544201064665328e-01
  64  4.999999999994551e-01  2.499999999996632e-01  5.448974604860268e-13  6.544872649686625e-01
  65  5.000000000003566e-01  2.500000000002204e-01  3.566036355096003e-13  6.544417277913610e-01
  66  4.999999999997666e-01  2.499999999998557e-01  2.333688797762079e-13  6.544209215442092e-01
  67  5.000000000001528e-01  2.500000000000944e-01  1.527666881884215e-13  6.546146527117032e-01
  68  4.999999999999000e-01  2.499999999999382e-01  1.000310945187266e-13  6.547965116279070e-01
  69  5.000000000000655e-01  2.500000000000405e-01  6.550315845288424e-14  6.548279689234184e-01
  70  4.999999999999572e-01  2.499999999999735e-01  4.285460875053104e-14  6.542372881355932e-01
  71  5.000000000000281e-01  2.500000000000173e-01  2.808864252301646e-14  6.554404145077720e-01
  72  4.999999999999816e-01  2.499999999999887e-01  1.842970220877760e-14  6.561264822134387e-01
  73  5.000000000000120e-01  2.500000000000074e-01  1.199040866595169e-14  6.506024096385542e-01
  74  4.999999999999921e-01  2.499999999999951e-01  7.882583474838611e-15  6.574074074074074e-01
  75  5.000000000000051e-01  2.500000000000032e-01  5.107025913275720e-15  6.478873239436620e-01
  76  4.999999999999967e-01  2.499999999999979e-01  3.330669073875470e-15  6.521739130434783e-01
  77  5.000000000000022e-01  2.500000000000013e-01  2.220446049250313e-15  6.666666666666666e-01
  78  4.999999999999986e-01  2.499999999999991e-01  1.443289932012704e-15  6.500000000000000e-01
  79  5.000000000000010e-01  2.500000000000006e-01  9.992007221626409e-16  6.923076923076923e-01
  80  4.999999999999993e-01  2.499999999999996e-01  6.661338147750939e-16  6.666666666666666e-01
