   1  3.904631595730098e-01  1.095368404269902e-01  5.992805645322643e-01
   2  4.265895837495474e-01  7.341041625045264e-02  6.701892802849561e-01
   3  4.485449928169873e-01  5.145500718301266e-02  7.009224277855174e-01
   4  4.629828073887168e-01  3.701719261128322e-02  7.194089484745825e-01
   5  4.729069590672342e-01  2.709304093276577e-02  7.319042591173575e-01
   6  4.799261977041143e-01  2.007380229588568e-02  7.409209747145377e-01
   7  4.849905926938279e-01  1.500940730617212e-02  7.477112250551776e-01
   8  4.886981923502811e-01  1.130180764971894e-02  7.529816080793178e-01
   9  4.914426616271114e-01  8.557338372888579e-03  7.571654586690286e-01
  10  4.934917587161686e-01  6.508241283831373e-03  7.605450433572698e-01
  11  4.950321756113960e-01  4.967824388604047e-03  7.633128785415145e-01
  12  4.961966081648155e-01  3.803391835184466e-03  7.656051296638557e-01
  13  4.970808169279844e-01  2.919183072015608e-03  7.675209913979388e-01
  14  4.977547555411190e-01  2.245244458880968e-03  7.691345158872461e-01
  15  4.982700343463085e-01  1.729965653691490e-03  7.705021370161653e-01
  16  4.986650415121910e-01  1.334958487809013e-03  7.716676252851664e-01
  17  4.989685237017456e-01  1.031476298254397e-03  7.726654481573408e-01
  18  4.992021292485285e-01  7.978707514714745e-04  7.735231074351770e-01
  19  4.993822383567597e-01  6.177616432402888e-04  7.742628014637469e-01
  20  4.995212948777363e-01  4.787051222636674e-04  7.749026303296511e-01
  21  4.996287845297682e-01  3.712154702317783e-04  7.754574851348999e-01
  22  4.997119591740865e-01  2.880408259135492e-04  7.759397142950514e-01
  23  4.997763767310401e-01  2.236232689598605e-04  7.763596297525457e-01
  24  4.998263060158947e-01  1.736939841052720e-04  7.767258966974918e-01
  25  4.998650318127101e-01  1.349681872899189e-04  7.770458371668053e-01
  26  4.998950857635913e-01  1.049142364086819e-04  7.773256684800880e-01
  27  4.999184217644636e-01  8.157823553645027e-05  7.775706932534036e-01
  28  4.999365496352025e-01  6.345036479754596e-05  7.777854519689319e-01
  29  4.999506372757158e-01  4.936272428424093e-05  7.779738452528190e-01
  30  4.999615889274794e-01  3.841107252061660e-05  7.781392351734392e-01
  31  4.999701052565774e-01  2.989474342263154e-05  7.782845273738702e-01
  32  4.999767295658834e-01  2.327043411659568e-05  7.784122374831628e-01
  33  4.999818833956750e-01  1.811660432499140e-05  7.785245532687014e-01
  34  4.999858939884473e-01  1.410601155271696e-05  7.786233722209226e-01
  35  4.999890155027614e-01  1.098449723863082e-05  7.787103532121450e-01
  36  4.999914454170113e-01  8.554582988706816e-06  7.787869397082315e-01
  37  4.999933372254249e-01  6.662774575116881e-06  7.788543969837720e-01
  38  4.999948102727704e-01  5.189727229626406e-06  7.789138250314234e-01
  39  4.999959573779188e-01  4.042622081201763e-06  7.789661965514862e-01
  40  4.999968507474311e-01  3.149252568945826e-06  7.790123602178608e-01
  41  4.999975465651838e-01  2.453434816196420e-06  7.790530490914794e-01
  42  4.999980885560815e-01  1.911443918478639e-06  7.790889351778116e-01
  43  4.999985107547169e-01  1.489245283092799e-06  7.791205740831376e-01
  44  4.999988396567972e-01  1.160343202799563e-06  7.791484827736457e-01
  45  4.999990958917938e-01  9.041082062455352e-07  7.791730964288764e-01
  46  4.999992955235731e-01  7.044764268604453e-07  7.791948153926229e-01
  47  4.999994510621298e-01  5.489378702150383e-07  7.792139655565525e-01
  48  4.999995722506549e-01  4.277493450555170e-07  7.792308898053482e-01
  49  4.999996666781315e-01  3.333218685508399e-07  7.792457718610382e-01
  50  4.999997402559504e-01  2.597440496021619e-07  7.792589509096205e-01
  51  4.999997975891099e-01  2.024108901044208e-07  7.792705565900137e-01
  52  4.999998422650791e-01  1.577349209025414e-07  7.792808026345235e-01
  53  4.999998770787703e-01  1.229212297504390e-07  7.792898937476722e-01
  54  4.999999042077508e-01  9.579224918843110e-08  7.792978428780243e-01
  55  4.999999253486395e-01  7.465136053763644e-08  7.793048098368708e-01
  56  4.999999418233639e-01  5.817663606411117e-08  7.793111290286622e-01
  57  4.999999546619849e-01  4.533801511996671e-08  7.793165467663655e-01
  58  4.999999646671016e-01  3.533289844037668e-08  7.793216872614299e-01
  59  4.999999724641773e-01  2.753582273307131e-08  7.793253298915536e-01
  60  4.999999785405156e-01  2.145948435616774e-08  7.793296958726524e-01
  61  4.999999832759132e-01  1.672408683761617e-08  7.793331172381806e-01
  62  4.999999869663326e-01  1.303366742311241e-08  7.793350722023761e-01
  63  4.999999898423558e-01  1.015764417022780e-08  7.793389105675200e-01
  64  4.999999920837360e-01  7.916263977669757e-09  7.793405483598689e-01
  65  4.999999938305186e-01  6.169481425732926e-09  7.793425589565778e-01
  66  4.999999951918474e-01  4.808152653801301e-09  7.793447004713365e-01
  67  4.999999962527867e-01  3.747213317417675e-09  7.793457461162651e-01
  68  4.999999970796150e-01  2.920384989391067e-09  7.793484763241604e-01
  69  4.999999977240109e-01  2.275989063882378e-09  7.793455562024878e-01
  70  4.999999982262046e-01  1.773795388348987e-09  7.793514549332895e-01
  71  4.999999986175915e-01  1.382408465477880e-09  7.793505804322777e-01
  72  4.999999989226129e-01  1.077387068448843e-09  7.793550859632538e-01
  73  4.999999991603390e-01  8.396610073901911e-10  7.793494390081037e-01
  74  4.999999993456087e-01  6.543912633993898e-10  7.793517355692732e-01
  75  4.999999994899936e-01  5.100064259799808e-10  7.793600778388026e-01
  76  4.999999996025307e-01  3.974692797115154e-10  7.793417091711647e-01
  77  4.999999996902262e-01  3.097738177082476e-10  7.793654340609232e-01
  78  4.999999997585776e-01  2.414224375968388e-10  7.793506868427990e-01
  79  4.999999998118492e-01  1.881507727397036e-10  7.793425276150359e-01
  80  4.999999998533599e-01  1.466401444716325e-10  7.793757226524987e-01
  81  4.999999998857161e-01  1.142839156642594e-10  7.793494481067400e-01
  82  4.999999999109283e-01  8.907174997574430e-11  7.793900782802818e-01
  83  4.999999999305882e-01  6.941180963337956e-11  7.792797340602552e-01
  84  4.999999999459024e-01  5.409761527630508e-11  7.793719190154925e-01
  85  4.999999999578336e-01  4.216638149756591e-11  7.794499125737787e-01
  86  4.999999999671448e-01  3.285516303463965e-11  7.791790964215470e-01
  87  4.999999999743919e-01  2.560812673024770e-11  7.794247346527762e-01
  88  4.999999999800373e-01  1.996269816118002e-11  7.795454299123159e-01
  89  4.999999999844427e-01  1.555733319946739e-11  7.793201637302011e-01
  90  4.999999999878806e-01  1.211936107026190e-11  7.790127597625028e-01
  91  4.999999999905523e-01  9.447664872652695e-12  7.795513986158124e-01
  92  4.999999999926323e-01  7.367662036017464e-12  7.798394773023726e-01
  93  4.999999999942618e-01  5.738243213926353e-12  7.788418070582562e-01
  94  4.999999999955318e-01  4.468203584906405e-12  7.786710005707597e-01
  95  4.999999999965135e-01  3.486488875381610e-12  7.802887243452765e-01
  96  4.999999999972813e-01  2.718658631550852e-12  7.797697708854109e-01
  97  4.999999999978845e-01  2.115529973423236e-12  7.781521184277693e-01
  98  4.999999999983485e-01  1.651512260281152e-12  7.806612437680399e-01
  99  4.999999999987141e-01  1.285860307120856e-12  7.785956774562199e-01
 100  4.999999999989992e-01  1.000755034397116e-12  7.782766361595579e-01
 101  4.999999999992153e-01  7.847056338050606e-13  7.841136010650099e-01
 102  4.999999999993913e-01  6.086797732507421e-13  7.756791171477080e-01
 103  4.999999999995288e-01  4.711786516509164e-13  7.740994072047424e-01
 104  4.999999999996252e-01  3.748112931134529e-13  7.954759660697456e-01
 105  4.999999999997103e-01  2.896571871247033e-13  7.728080568720379e-01
 106  4.999999999997762e-01  2.238209617644316e-13  7.727098505174397e-01
 107  4.999999999998287e-01  1.713074126996617e-13  7.653769841269841e-01
 108  4.999999999998620e-01  1.380007219609070e-13  8.055735580038885e-01
 109  4.999999999998887e-01  1.112998582186719e-13  8.065164923572004e-01
 110  4.999999999999212e-01  7.882583474838611e-14  7.082294264339152e-01
 111  4.999999999999339e-01  6.605826996519681e-14  8.380281690140845e-01
 112  4.999999999999518e-01  4.818367926873179e-14  7.294117647058823e-01
 113  4.999999999999595e-01  4.046762924758696e-14  8.398617511520737e-01
 114  4.999999999999678e-01  3.219646771412954e-14  7.956104252400549e-01
 115  4.999999999999762e-01  2.381428387820961e-14  7.396551724137931e-01
 116  4.999999999999842e-01  1.576516694967722e-14  6.620046620046620e-01
 117  4.999999999999846e-01  1.543210004228968e-14  9.788732394366197e-01
