   1  1.797542640788961e+01
   2  1.140468585188410e+01
   3  7.238313406348167e+00
   4  4.594034086589011e+00
   5  2.915381447650509e+00
   6  1.849811882466472e+00
   7  1.173540807914782e+00
   8  7.444194501816859e-01
   9  4.721632207105628e-01
  10  2.994499368050228e-01
  11  1.898963649599335e-01
  12  1.204130563033304e-01
  13  7.634835945330280e-02
  14  4.840597291137622e-02
  15  3.068838071074835e-02
  16  1.945479097442125e-02
  17  1.233270137432514e-02
  18  7.817542853970180e-03
  19  4.955230833919835e-03
  20  3.140797356805564e-03
  21  1.990668258175123e-03
  22  1.261656596322346e-03
  23  7.995893049336280e-04
  24  5.067298720912186e-04
  25  3.211218416359225e-04
  26  2.034918390334879e-04
  27  1.289460048765353e-04
  28  8.170571066790500e-05
  29  5.177026761609514e-05
  30  3.280134923771078e-05
  31  2.078194064037556e-05
  32  1.316628803127597e-05
  33  8.341097670996567e-06
  34  5.284031412005941e-06
  35  3.347261285992193e-06
  36  2.120291509079678e-06
  37  1.343021454605310e-06
  38  8.506509866591742e-07
  39  5.387665288735462e-07
  40  3.412166254174072e-07
  41  2.160925366926285e-07
  42  1.368450129685904e-07
  43  8.665575517450973e-08
  44  5.487122634385196e-08
  45  3.474323970952851e-08
  46  2.199753086518402e-08
  47  1.392691988252630e-08
  48  8.816845778798892e-09
  49  5.581461654587681e-09
  50  3.533122509438292e-09
  51  2.236377408440210e-09
  52  1.415489186834780e-09
  53  8.958647610485089e-10
  54  5.669597635775799e-10
  55  3.587854386960046e-10
  56  2.270331165034805e-10
  57  1.436530920525575e-10
  58  9.088892216522257e-11
  59  5.750175442386534e-11
  60  3.637753779731099e-11
  61  2.301217301463853e-11
  62  1.455585244348534e-11
  63  9.206648148610752e-12
  64  5.823176394783101e-12
  65  3.682213920247395e-12
  66  2.327494776327938e-12
  67  1.471220451616329e-12
  68  9.304698031742649e-13
  69  5.874507176344394e-13
  70  3.714453181987024e-13
  71  2.360252683852243e-13
  72  1.490010298155269e-13
  73  9.447756583645837e-14
  74  5.953984377409382e-14
  75  3.730613692190831e-14
  76  2.311397949425694e-14
  77  1.399057225805877e-14
  78  9.493542985708791e-15
  79  6.036183650278998e-15
  80  3.641802296806935e-15
