   1  1.640807727919393e+01
   2  8.141579238698103e+00
   3  4.045457039229311e+00
   4  2.014313405628267e+00
   5  1.003727374932296e+00
   6  5.003749681177847e-01
   7  2.495196794706860e-01
   8  1.244541286349019e-01
   9  6.208515614416380e-02
  10  3.097603567173221e-02
  11  1.545657396025150e-02
  12  7.713338114906551e-03
  13  3.849527238936441e-03
  14  1.921337796013991e-03
  15  9.590199990093838e-04
  16  4.787140663907903e-04
  17  2.389718753735504e-04
  18  1.192991533371719e-04
  19  5.955882232712049e-05
  20  2.973524143478941e-05
  21  1.484609125940056e-05
  22  7.412537500018235e-06
  23  3.701133701910211e-06
  24  1.848054727171346e-06
  25  9.227971733613969e-07
  26  4.607956095156256e-07
  27  2.301020065738631e-07
  28  1.149057834964629e-07
  29  5.738154700164470e-08
  30  2.865569962207672e-08
  31  1.431059586291329e-08
  32  7.146805255737338e-09
  33  3.569220671660952e-09
  34  1.782550058410297e-09
  35  8.902589623016657e-10
  36  4.446284629600435e-10
  37  2.220676586187022e-10
  38  1.109122389734075e-10
  39  5.539579003088931e-11
  40  2.766789800445285e-11
  41  1.381977944043599e-11
  42  6.903382868726750e-12
  43  3.448153762213619e-12
  44  1.722296918471059e-12
  45  8.609818424423382e-13
  46  4.319943271790784e-13
  47  2.176980613298366e-13
  48  1.087220723637015e-13
  49  5.302497692245999e-14
  50  2.668510592787093e-14
  51  1.433005074625853e-14
  52  8.128167125020236e-15
  53  4.094300213216723e-15
