2  1.736382048571544e-02
4  7.079120959555652e-03
8  2.230965605960245e-02
16  2.109871763259089e-02
32  4.118729724247414e-03
64  2.653585645322809e-03
128  6.202738266993760e-03
256  3.096848882683564e-03
512  1.100267935563171e-03
1024  6.739600687665492e-04
2048  1.733585388545525e-03
4096  5.888782559471395e-04
8192  5.242411520908208e-04
16384  3.585304443119164e-04
32768  2.725934581337408e-04
65536  1.174017316449977e-04
131072  1.282082026640430e-04
262144  3.194563053790511e-05
524288  4.637867694912146e-05
1048576  5.413055256363319e-05
