   L  Approx. value         Abs error           
   4  3.300244476071348e+00  1.586518224815547e-01
   8  3.143507978930934e+00  1.915325341140584e-03
  16  3.141592673305705e+00  1.971591157001740e-08
  32  3.141592653589794e+00  4.440892098500626e-16
