9.957341762950345e-01 3.877898360005627e-02 3.538835890992687e-16
9.857768345320841e-01 2.670609627356625e-02 1.282912890413572e-02
9.758194927691337e-01 2.925514608188605e-02 1.105834442107984e-02
9.658621510061833e-01 3.765801921541506e-02 3.456610959006866e-03
9.559048092432330e-01 4.669798851610132e-02 4.758452935417289e-03
9.459474674802826e-01 5.364360354053120e-02 1.085446231285408e-02
9.359901257173322e-01 5.743144236226710e-02 1.376701514316601e-02
9.260327839543818e-01 5.805135079237687e-02 1.348492889093360e-02
9.160754421914314e-01 5.609478961826302e-02 1.059858493244207e-02
9.061181004284811e-01 5.243304688828694e-02 5.978137828341362e-03
8.961607586655307e-01 4.799743575537432e-02 5.537099507752427e-04
8.862034169025803e-01 4.363826763309357e-02 4.825638797115193e-03
8.762460751396299e-01 4.004343768654307e-02 9.473329163868088e-03
8.662887333766796e-01 3.770095124175661e-02 1.290274006915789e-02
8.563313916137292e-01 3.689271619761401e-02 1.483342039590341e-02
8.463740498507788e-01 3.770948336500822e-02 1.517615315182012e-02
8.364167080878284e-01 4.007898435012684e-02 1.400482240694208e-02
8.264593663248780e-01 4.380114109825173e-02 1.152120891609897e-02
8.165020245619277e-01 4.858574424133939e-02 8.017317310661874e-03
8.065446827989773e-01 5.408925673221209e-02 3.838578406689316e-03
7.965873410360269e-01 5.994842903698126e-02 6.497596095846742e-04
7.866299992730765e-01 6.580924315302100e-02 5.091568350837773e-03
7.766726575101262e-01 7.135036255637392e-02 9.163281817710027e-03
7.667153157471758e-01 7.630077861090852e-02 1.259153489826982e-02
7.567579739842254e-01 8.045173308687610e-02 1.516507738000038e-02
7.468006322212750e-01 8.366328089152425e-02 1.674132752741606e-02
7.368432904583246e-01 8.586605432073897e-02 1.724812648037297e-02
7.268859486953743e-01 8.705891545768617e-02 1.668138004039252e-02
7.169286069324239e-01 8.730325025650823e-02 1.509934131924444e-02
7.069712651694735e-01 8.671467813186655e-02 1.261430800116919e-02
6.970139234065231e-01 8.545293475072713e-02 9.382491839651758e-03
6.870565816435728e-01 8.371064200542502e-02 5.592774285717583e-03
6.770992398806224e-01 8.170161537843544e-02 1.454998369003119e-03
6.671418981176720e-01 7.964928148500712e-02 2.811630479089541e-03
6.571845563547216e-01 7.777569286682164e-02 6.989547692084985e-03
6.472272145917712e-01 7.629153755549438e-02 1.087283952009828e-02
6.372698728288209e-01 7.538745115792288e-02 1.427595203784866e-02
6.273125310658705e-01 7.522685214005258e-02 1.704087866587600e-02
6.173551893029201e-01 7.594043886666074e-02 1.904268779138603e-02
6.073978475399697e-01 7.762241149794727e-02 2.019332754308531e-02
5.974405057770193e-01 8.032841426831433e-02 2.044371236132997e-02
5.874831640140690e-01 8.407513477827996e-02 1.978415491121764e-02
5.775258222511186e-01 8.884144715787176e-02 1.824325667084960e-02
5.675684804881682e-01 9.457094544677716e-02 1.588541105193854e-02
5.576111387252178e-01 1.011756821678470e-01 1.280710429003319e-02
5.476537969622675e-01 1.085409045238086e-01 9.132221898861204e-03
5.376964551993171e-01 1.165305664334292e-01 5.006582705858492e-03
5.277391134363667e-01 1.249933881243708e-01 5.919289915596593e-04
5.177817716734163e-01 1.337692355001066e-01 3.940399241396303e-03
5.078244299104660e-01 1.426955982139525e-01 8.415884561121828e-03
4.978670881475156e-01 1.516139574883527e-01 1.266313776582800e-02
