Div     Approx.                Abs error            
     2  5.347222222222222e-01  3.472222222222221e-02
     4  5.089937641723357e-01  8.993764172335661e-03
     8  5.022708503263364e-01  2.270850326336449e-03
    16  5.005691701269964e-01  5.691701269964211e-04
    32  5.001423845908210e-01  1.423845908210542e-04
    64  5.000356019167562e-01  3.560191675622271e-05
