Div     Approx.                Abs error            
     2  4.444444444444444e-01  5.555555555555558e-02
     4  4.832653061224490e-01  1.673469387755100e-02
     8  4.955479364803374e-01  4.452063519662597e-03
    16  4.988674899276563e-01  1.132510072343718e-03
    32  4.997155990546460e-01  2.844009453540353e-04
    64  4.999288192426911e-01  7.118075730888629e-05
