   0.0000000e+00  -7.6603858e+00  -6.7518994e-02   1.7527015e+00   5.3538816e+00   6.1989255e-01   1.3223877e+01   1.9446380e+03
   3.8380053e-02  -7.6603012e+00  -6.7526041e-02   1.7525610e+00   5.3538819e+00   6.1919238e-01   1.3224021e+01   1.9444349e+03
   7.6760106e-02  -7.6602845e+00  -6.7534973e-02   1.7524203e+00   5.3538822e+00   6.1849310e-01   1.3224048e+01   1.9441774e+03
   1.1514016e-01  -7.6603006e+00  -6.7545646e-02   1.7522796e+00   5.3538826e+00   6.1779472e-01   1.3224017e+01   1.9438698e+03
   2.5063224e-01  -7.6604276e+00  -6.7597689e-02   1.7517816e+00   5.3538851e+00   6.1533921e-01   1.3223779e+01   1.9423711e+03
   3.8612433e-01  -7.6605666e+00  -6.7661575e-02   1.7512823e+00   5.3538889e+00   6.1289470e-01   1.3223510e+01   1.9405339e+03
   5.2161641e-01  -7.6607028e+00  -6.7734221e-02   1.7507817e+00   5.3538939e+00   6.1046132e-01   1.3223238e+01   1.9384484e+03
   1.0024322e+00  -7.6611316e+00  -6.8038817e-02   1.7489915e+00   5.3539251e+00   6.0194910e-01   1.3222262e+01   1.9297439e+03
   1.4832480e+00  -7.6615018e+00  -6.8371492e-02   1.7471863e+00   5.3539712e+00   5.9357108e-01   1.3221276e+01   1.9203155e+03
   1.9640638e+00  -7.6618136e+00  -6.8721496e-02   1.7453663e+00   5.3540320e+00   5.8532716e-01   1.3220280e+01   1.9104840e+03
   3.2283191e+00  -7.6622802e+00  -6.9714815e-02   1.7404953e+00   5.3542810e+00   5.6446147e-01   1.3217598e+01   1.8830566e+03
   4.4925744e+00  -7.6623795e+00  -7.0781977e-02   1.7355389e+00   5.3546232e+00   5.4444584e-01   1.3214847e+01   1.8543870e+03
   5.7568297e+00  -7.6621235e+00  -7.1923070e-02   1.7305037e+00   5.3550555e+00   5.2525652e-01   1.3212027e+01   1.8246187e+03
   1.0542710e+01  -7.6584960e+00  -7.6861855e-02   1.7109307e+00   5.3573663e+00   4.5885930e-01   1.3200793e+01   1.7056344e+03
   1.5328591e+01  -7.6508281e+00  -8.2889001e-02   1.6906762e+00   5.3607025e+00   4.0207467e-01   1.3188611e+01   1.5792662e+03
   2.0114471e+01  -7.6396360e+00  -9.0079618e-02   1.6700079e+00   5.3649127e+00   3.5373384e-01   1.3175595e+01   1.4504585e+03
   2.4900352e+01  -7.6254100e+00  -9.8527163e-02   1.6491713e+00   5.3698467e+00   3.1265883e-01   1.3161907e+01   1.3231370e+03
   3.1477330e+01  -7.6015536e+00  -1.1239029e-01   1.6206125e+00   5.3775820e+00   2.6627487e-01   1.3142416e+01   1.1558185e+03
   3.8054307e+01  -7.5733632e+00  -1.2915398e-01   1.5925535e+00   5.3861615e+00   2.2940081e-01   1.3122855e+01   1.0017821e+03
   4.4631285e+01  -7.5413008e+00  -1.4919366e-01   1.5653512e+00   5.3953654e+00   2.0013291e-01   1.3104068e+01   8.6345306e+02
   5.1208263e+01  -7.5056139e+00  -1.7295720e-01   1.5392744e+00   5.4050385e+00   1.7701427e-01   1.3086895e+01   7.4136943e+02
   5.7785240e+01  -7.4664116e+00  -2.0097258e-01   1.5145285e+00   5.4150759e+00   1.5892642e-01   1.3072133e+01   6.3492208e+02
