   0.0000000e+00   1.0000000e+00   0.0000000e+00
   1.2394558e-06   1.0000000e+00   1.2394558e-06
   7.4367348e-06   1.0000000e+00   7.4367359e-06
   3.8423130e-05   1.0000000e+00   3.8423161e-05
   1.9335510e-04   9.9999998e-01   1.9335591e-04
   4.9241856e-04   9.9999985e-01   4.9242375e-04
   7.9303032e-04   9.9999960e-01   7.9304376e-04
   1.0955426e-03   9.9999924e-01   1.0955682e-03
   1.3999691e-03   9.9999876e-01   1.4000109e-03
   1.7063206e-03   9.9999816e-01   1.7063826e-03
   2.0146129e-03   9.9999744e-01   2.0146991e-03
   2.3248589e-03   9.9999659e-01   2.3249736e-03
   2.6370720e-03   9.9999561e-01   2.6372193e-03
   2.9512668e-03   9.9999450e-01   2.9514510e-03
   3.2674569e-03   9.9999326e-01   3.2676824e-03
   3.5856577e-03   9.9999188e-01   3.5859288e-03
   3.9058836e-03   9.9999037e-01   3.9062047e-03
   4.2281466e-03   9.9998871e-01   4.2285223e-03
   4.5524621e-03   9.9998691e-01   4.5528969e-03
   4.8788453e-03   9.9998497e-01   4.8793439e-03
   5.2073106e-03   9.9998287e-01   5.2078776e-03
   5.5378724e-03   9.9998063e-01   5.5385126e-03
   5.8705447e-03   9.9997823e-01   5.8712629e-03
   6.2053457e-03   9.9997567e-01   6.2061468e-03
   6.5422879e-03   9.9997295e-01   6.5431767e-03
   6.8813863e-03   9.9997007e-01   6.8823680e-03
   7.2226568e-03   9.9996703e-01   7.2237364e-03
   7.5661156e-03   9.9996381e-01   7.5672981e-03
   7.9117783e-03   9.9996042e-01   7.9130690e-03
   8.2596587e-03   9.9995686e-01   8.2610629e-03
   8.6097739e-03   9.9995312e-01   8.6112969e-03
   8.9621413e-03   9.9994920e-01   8.9637884e-03
   9.3167743e-03   9.9994509e-01   9.3185509e-03
   9.6736903e-03   9.9994079e-01   9.6756021e-03
   1.0032905e-02   9.9993631e-01   1.0034958e-02
   1.0394436e-02   9.9993162e-01   1.0396634e-02
   1.0758298e-02   9.9992674e-01   1.0760649e-02
   1.1124509e-02   9.9992166e-01   1.1127017e-02
   1.1493085e-02   9.9991637e-01   1.1495757e-02
   1.1864043e-02   9.9991087e-01   1.1866885e-02
   1.2237402e-02   9.9990516e-01   1.2240419e-02
   1.2613176e-02   9.9989923e-01   1.2616375e-02
   1.2991383e-02   9.9989308e-01   1.2994770e-02
