   0.0000000e+00   1.0000000e+00   0.0000000e+00
   1.2394558e-06   1.0000000e+00   1.2394558e-06
   7.4367348e-06   1.0000000e+00   7.4367359e-06
   3.8423130e-05   1.0000000e+00   3.8423161e-05
   1.9335510e-04   9.9999998e-01   1.9335591e-04
   4.9240524e-04   9.9999985e-01   4.9241043e-04
   7.9301761e-04   9.9999961e-01   7.9303106e-04
   1.0955295e-03   9.9999925e-01   1.0955551e-03
   1.3999552e-03   9.9999878e-01   1.3999970e-03
   1.7063070e-03   9.9999818e-01   1.7063690e-03
   2.0145994e-03   9.9999746e-01   2.0146856e-03
   2.3248452e-03   9.9999661e-01   2.3249599e-03
   2.6370590e-03   9.9999564e-01   2.6372064e-03
   2.9512540e-03   9.9999453e-01   2.9514382e-03
   3.2674442e-03   9.9999329e-01   3.2676696e-03
   3.5856445e-03   9.9999192e-01   3.5859156e-03
   3.9058686e-03   9.9999041e-01   3.9061897e-03
   4.2281307e-03   9.9998876e-01   4.2285064e-03
   4.5524470e-03   9.9998696e-01   4.5528818e-03
   4.8788287e-03   9.9998502e-01   4.8793273e-03
   5.2072936e-03   9.9998293e-01   5.2078606e-03
   5.5378553e-03   9.9998068e-01   5.5384955e-03
   5.8705279e-03   9.9997829e-01   5.8712461e-03
   6.2053290e-03   9.9997573e-01   6.2061301e-03
   6.5422709e-03   9.9997302e-01   6.5431597e-03
   6.8813693e-03   9.9997014e-01   6.8823509e-03
   7.2226401e-03   9.9996710e-01   7.2237197e-03
   7.5660986e-03   9.9996389e-01   7.5672811e-03
   7.9117609e-03   9.9996050e-01   7.9130516e-03
   8.2596416e-03   9.9995694e-01   8.2610458e-03
   8.6097566e-03   9.9995321e-01   8.6112796e-03
   8.9621229e-03   9.9994929e-01   8.9637700e-03
   9.3167561e-03   9.9994518e-01   9.3185328e-03
   9.6736721e-03   9.9994089e-01   9.6755839e-03
   1.0032887e-02   9.9993641e-01   1.0034940e-02
   1.0394417e-02   9.9993173e-01   1.0396616e-02
   1.0758280e-02   9.9992685e-01   1.0760631e-02
   1.1124491e-02   9.9992177e-01   1.1126999e-02
   1.1493066e-02   9.9991648e-01   1.1495739e-02
   1.1864024e-02   9.9991099e-01   1.1866866e-02
   1.2237381e-02   9.9990528e-01   1.2240399e-02
   1.2613155e-02   9.9989935e-01   1.2616354e-02
   1.2991362e-02   9.9989321e-01   1.2994749e-02
