   1  1.368735629673770e+01
   2  3.365000627941047e+00
   3  8.286540929243636e-01
   4  2.040439583110572e-01
   5  5.023643807872338e-02
   6  1.236793903748566e-02
   7  3.044770690352488e-03
   8  7.495452957404234e-04
   9  1.845132424696589e-04
  10  4.542012475507673e-05
  11  1.118057849084414e-05
  12  2.752213583477058e-06
  13  6.775014641209088e-07
  14  1.667862168937280e-07
  15  4.106266349577381e-08
  16  1.011094032852046e-08
  17  2.490122361190974e-09
  18  6.134379178952971e-10
  19  1.511772676281733e-10
  20  3.727623399528363e-11
  21  9.197374066638469e-12
  22  2.269792312368021e-12
  23  5.596553989572468e-13
  24  1.377442749342036e-13
  25  3.322369066841462e-14
  26  7.164165174389970e-15
  27  2.129777031761968e-15
